Title,Date,Category,Content,Link,Image
CAN 2023 : Le Sénégal finit leader de son groupe après avoir battu la Guinée (2-0),mardi 23 janvier 2024 - 20:18,sport,"D’emblée qualifié pour les 8es de finale de la CAN, le Sénégal a encore confirmé son statut de favori et fini premier de son groupe en s’imposant 2 à 0 face à la Guinée, qui avait également validé son ticket.
Le Sénégal s’offre sa première occasion d’ouvrir le score avec Jakobs tire le coup franc, qui est repoussé par la défense guinéenne. Le ballon revient à l’entrée de la surface de réparation sur Nampalys Mendy, qui déclenche une énorme frappe, mais est déviée juste devant les buts
Les Lions de la Terranga continuent à pousser et se montrent offensives en donnant du fil à retordre à Kone.




A la 26e minute, les Guinéens attaquent à leur tour mais Koulibaly intercepte le ballon dans les pieds de Naby Keita.
Le Sénégal a dominé cette première période mais n’as pas réussi à faire trembler les filets du gardien de but guinéen tandis le Sily national souffre face à une défense sénégalaise qui ne laisse rien passer.
Le Sénégal bénéficie d’un coup franc à la 52e minute après une légère faute de Diawara sur Mané, mais sans succès.
Sadio Mané rate son opportunité d’ouvrir le score à la 57e minute après avoir crochet Kone et peut finir dans le but vide, mais il met le ballon à côté.
Les Lions n’ont pas dit leur dernier mot et ouvrent le score à la 62e minute avec un coup franc parfaitement exécuté par Diatta et repris par Seck qui met sa tête en opposition et marque.
La Guinée rate son occasion d’égaliser à la 67e minute après un coup tiré par Camara, qui est mal repris par Guilavogui.
Les Elephants n’y arrivent toujours pas dans ces dernières minutes de la rencontre et ratent un nouveau coup-franc.
Le Sénégal double la mise dans les dernières minutes de la rencontre (90’), grâce à Ndiaye qui tire parfaitement après avoir été servi par Sadio Mané.
Le temps additionnel n’aura pas suffit à la Guinée pour marquer, le Sénégal finit donc premier de son groupe.",https://fr.hespress.com/349579-can-2023-le-senegal-finit-leader-de-son-groupe-apres-avoir-battu-la-guinee-2-0.html,https://fr.hespress.com/wp-content/uploads/2024/01/sadiomanecan.jpg
CAN 2023: Le Cameroun s'impose face à la Gambie (3-1),mardi 23 janvier 2024 - 20:18,sport,"L’équipe du Cameroun s’est imposée, mardi soir, contre la Gambie sur un score de 3 buts contre 1 à l’issue d’une rencontre haute en tensions, dans le cadre de la Coupe d’Afrique des Nations organisée en Côte d’Ivoire.",https://fr.hespress.com/349585-can-2023-le-cameroun-simpose-face-a-la-gambie-3-1.html,https://fr.hespress.com/wp-content/uploads/2024/01/cameroun-gambie.jpg
"CAN 2023/Zambie : ""Nous allons défendre crânement nos chances face au Maroc""",mardi 23 janvier 2024 - 15:28,sport,"Le sélectionneur de la Zambie, Avram Grant, a indiqué que ses joueurs vont « défendre crânement leurs chances » face à la sélection marocaine, mercredi (21h00 GMT+1) pour le compte de la troisième et dernière journée (groupe F) du premier tour de la Coupe d’Afrique des Nations (CAN) de football.
« C’est un match très important pour nous. Le Maroc est déjà qualifié et jouera sans pression, mais nous avons besoin des trois points pour atteindre les huitièmes de finale », a-t-il déclaré en conférence de presse d’avant-match, mardi au stade Laurent Pokou de San Pedro qui accueillera cette rencontre.
« L’équipe du Maroc est fantastique. Tout le monde a été ébahi par ce qu’ils ont fait au Mondial-2022 au Qatar. Ils ont d’excellents joueurs », a-t-il ajouté, reconnaissant que « le Maroc est, sans aucun doute, meilleur que nous sur le papier, mais nous avons aussi de bons joueurs ».




« La Zambie a montré beaucoup de caractère lors des deux précédents matches. Nous verrons demain comment les joueurs vont réagir », a-t-il encore dit.
« Nous allons jouer contre la meilleure équipe en Afrique. L’équipe du Maroc dispose d’une ossature bien soudée. Mais on doit défendre nos chances. Dans le football, il y a toujours des surprises. Ce n’est pas toujours le meilleur qui gagne », a-t-il soutenu, assurant que ses joueurs sont extrêmement motivés afin de décrocher le sésame des huitièmes de finale.
« Nous sommes qualifiés en CAN après des années d’absence. Notre objectif est de produire un bon football face au Maroc. J’aime la pression car elle nous permet de donner le meilleur de nous-mêmes », a-t-il conclu.
Au terme de la deuxième journée, le Maroc occupe la tête du groupe F avec 4 points, devant la RD Congo et la Zambie (2 pts). La Tanzanie est quatrième avec un seul point.
La sélection nationale assurée, au moins, de terminer parmi les quatre meilleures sélections classées troisièmes au vu des résultats des matches de la 3è journée des groupes A et B, disputés lundi, est officiellement qualifiée pour les huitièmes de finale de la CAN 2023.",https://fr.hespress.com/349559-can-2023-zambie-nous-allons-defendre-cranement-nos-chances-face-au-maroc.html,https://fr.hespress.com/wp-content/uploads/2024/01/avram-grant-zambie.jpg
